status,stageId,attemptId,numTasks,numActiveTasks,numCompleteTasks,numFailedTasks,numKilledTasks,numCompletedIndices,submissionTime,firstTaskLaunchedTime,executorDeserializeTime,executorDeserializeCpuTime,executorRunTime,executorCpuTime,resultSize,jvmGcTime,resultSerializationTime,memoryBytesSpilled,diskBytesSpilled,peakExecutionMemory,inputBytes,inputRecords,outputBytes,outputRecords,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleLocalBytesRead,shuffleReadBytes,shuffleReadRecords,shuffleCorruptMergedBlockChunks,shuffleMergedFetchFallbackCount,shuffleMergedRemoteBlocksFetched,shuffleMergedLocalBlocksFetched,shuffleMergedRemoteChunksFetched,shuffleMergedLocalChunksFetched,shuffleMergedRemoteBytesRead,shuffleMergedLocalBytesRead,shuffleRemoteReqsDuration,shuffleMergedRemoteReqsDuration,shuffleWriteBytes,shuffleWriteTime,shuffleWriteRecords,name,details,schedulingPool,rddIds,accumulatorUpdates,killedTasksSummary,resourceProfileId,peakExecutorMetrics,isShufflePushEnabled,shuffleMergersCount,completionTime
ACTIVE,1,0,62,10,0,0,0,0,2024-06-07T21:56:46.581GMT,2024-06-07T21:56:46.603GMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toPandas at /var/folders/qr/3fmt11j97gq73yrbx28qtl5w0000gn/T/ipykernel_61043/2892567159.py:1,"org.apache.spark.sql.Dataset.collectToPython(Dataset.scala:4145)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[5, 2, 4, 3]",[],{},0,"{'JVMHeapMemory': 202365736, 'JVMOffHeapMemory': 156919608, 'OnHeapExecutionMemory': 0, 'OffHeapExecutionMemory': 0, 'OnHeapStorageMemory': 427885, 'OffHeapStorageMemory': 0, 'OnHeapUnifiedMemory': 427885, 'OffHeapUnifiedMemory': 0, 'DirectPoolMemory': 11432630, 'MappedPoolMemory': 0, 'ProcessTreeJVMVMemory': 0, 'ProcessTreeJVMRSSMemory': 0, 'ProcessTreePythonVMemory': 0, 'ProcessTreePythonRSSMemory': 0, 'ProcessTreeOtherVMemory': 0, 'ProcessTreeOtherRSSMemory': 0, 'MinorGCCount': 11, 'MinorGCTime': 143, 'MajorGCCount': 4, 'MajorGCTime': 209, 'TotalGCTime': 352}",False,0,
COMPLETE,0,0,1,0,1,0,0,1,2024-06-07T21:56:42.898GMT,2024-06-07T21:56:43.242GMT,397,348691000,228,72218000,1869,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parquet at NativeMethodAccessorImpl.java:0,"org.apache.spark.sql.DataFrameReader.parquet(DataFrameReader.scala:563)
sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
java.lang.reflect.Method.invoke(Method.java:498)
py4j.reflection.MethodInvoker.invoke(MethodInvoker.java:244)
py4j.reflection.ReflectionEngine.invoke(ReflectionEngine.java:374)
py4j.Gateway.invoke(Gateway.java:282)
py4j.commands.AbstractCommand.invokeMethod(AbstractCommand.java:132)
py4j.commands.CallCommand.execute(CallCommand.java:79)
py4j.ClientServerConnection.waitForCommands(ClientServerConnection.java:182)
py4j.ClientServerConnection.run(ClientServerConnection.java:106)
java.lang.Thread.run(Thread.java:750)",default,"[1, 0]",[],{},0,"{'JVMHeapMemory': 0, 'JVMOffHeapMemory': 0, 'OnHeapExecutionMemory': 0, 'OffHeapExecutionMemory': 0, 'OnHeapStorageMemory': 0, 'OffHeapStorageMemory': 0, 'OnHeapUnifiedMemory': 0, 'OffHeapUnifiedMemory': 0, 'DirectPoolMemory': 0, 'MappedPoolMemory': 0, 'ProcessTreeJVMVMemory': 0, 'ProcessTreeJVMRSSMemory': 0, 'ProcessTreePythonVMemory': 0, 'ProcessTreePythonRSSMemory': 0, 'ProcessTreeOtherVMemory': 0, 'ProcessTreeOtherRSSMemory': 0, 'MinorGCCount': 0, 'MinorGCTime': 0, 'MajorGCCount': 0, 'MajorGCTime': 0, 'TotalGCTime': 0}",False,0,2024-06-07T21:56:43.969GMT
